Series id,Year,Period,Value,MoYr
LNS14000000,1977,Sep,6.8,1977-09-01
LNS14000000,1977,Oct,6.8,1977-10-01
LNS14000000,1977,Nov,6.8,1977-11-01
LNS14000000,1977,Dec,6.4,1977-12-01
LNS14000000,1978,Jan,6.4,1978-01-01
LNS14000000,1978,Feb,6.3,1978-02-01
LNS14000000,1978,Mar,6.3,1978-03-01
LNS14000000,1978,Apr,6.1,1978-04-01
LNS14000000,1978,May,6.0,1978-05-01
LNS14000000,1978,Jun,5.9,1978-06-01
LNS14000000,1978,Jul,6.2,1978-07-01
LNS14000000,1978,Aug,5.9,1978-08-01
LNS14000000,1978,Sep,6.0,1978-09-01
LNS14000000,1978,Oct,5.8,1978-10-01
LNS14000000,1978,Nov,5.9,1978-11-01
LNS14000000,1978,Dec,6.0,1978-12-01
LNS14000000,1979,Jan,5.9,1979-01-01
LNS14000000,1979,Feb,5.9,1979-02-01
LNS14000000,1979,Mar,5.8,1979-03-01
LNS14000000,1979,Apr,5.8,1979-04-01
LNS14000000,1979,May,5.6,1979-05-01
LNS14000000,1979,Jun,5.7,1979-06-01
LNS14000000,1979,Jul,5.7,1979-07-01
LNS14000000,1979,Aug,6.0,1979-08-01
LNS14000000,1979,Sep,5.9,1979-09-01
LNS14000000,1979,Oct,6.0,1979-10-01
LNS14000000,1979,Nov,5.9,1979-11-01
LNS14000000,1979,Dec,6.0,1979-12-01
LNS14000000,1980,Jan,6.3,1980-01-01
LNS14000000,1980,Feb,6.3,1980-02-01
LNS14000000,1980,Mar,6.3,1980-03-01
LNS14000000,1980,Apr,6.9,1980-04-01
LNS14000000,1980,May,7.5,1980-05-01
LNS14000000,1980,Jun,7.6,1980-06-01
LNS14000000,1980,Jul,7.8,1980-07-01
LNS14000000,1980,Aug,7.7,1980-08-01
LNS14000000,1980,Sep,7.5,1980-09-01
LNS14000000,1980,Oct,7.5,1980-10-01
LNS14000000,1980,Nov,7.5,1980-11-01
LNS14000000,1980,Dec,7.2,1980-12-01
LNS14000000,1981,Jan,7.5,1981-01-01
LNS14000000,1981,Feb,7.4,1981-02-01
LNS14000000,1981,Mar,7.4,1981-03-01
LNS14000000,1981,Apr,7.2,1981-04-01
LNS14000000,1981,May,7.5,1981-05-01
LNS14000000,1981,Jun,7.5,1981-06-01
LNS14000000,1981,Jul,7.2,1981-07-01
LNS14000000,1981,Aug,7.4,1981-08-01
LNS14000000,1981,Sep,7.6,1981-09-01
LNS14000000,1981,Oct,7.9,1981-10-01
LNS14000000,1981,Nov,8.3,1981-11-01
LNS14000000,1981,Dec,8.5,1981-12-01
LNS14000000,1982,Jan,8.6,1982-01-01
LNS14000000,1982,Feb,8.9,1982-02-01
LNS14000000,1982,Mar,9.0,1982-03-01
LNS14000000,1982,Apr,9.3,1982-04-01
LNS14000000,1982,May,9.4,1982-05-01
LNS14000000,1982,Jun,9.6,1982-06-01
LNS14000000,1982,Jul,9.8,1982-07-01
LNS14000000,1982,Aug,9.8,1982-08-01
LNS14000000,1982,Sep,10.1,1982-09-01
LNS14000000,1982,Oct,10.4,1982-10-01
LNS14000000,1982,Nov,10.8,1982-11-01
LNS14000000,1982,Dec,10.8,1982-12-01
LNS14000000,1983,Jan,10.4,1983-01-01
LNS14000000,1983,Feb,10.4,1983-02-01
LNS14000000,1983,Mar,10.3,1983-03-01
LNS14000000,1983,Apr,10.2,1983-04-01
LNS14000000,1983,May,10.1,1983-05-01
LNS14000000,1983,Jun,10.1,1983-06-01
LNS14000000,1983,Jul,9.4,1983-07-01
LNS14000000,1983,Aug,9.5,1983-08-01
LNS14000000,1983,Sep,9.2,1983-09-01
LNS14000000,1983,Oct,8.8,1983-10-01
LNS14000000,1983,Nov,8.5,1983-11-01
LNS14000000,1983,Dec,8.3,1983-12-01
LNS14000000,1984,Jan,8.0,1984-01-01
LNS14000000,1984,Feb,7.8,1984-02-01
LNS14000000,1984,Mar,7.8,1984-03-01
LNS14000000,1984,Apr,7.7,1984-04-01
LNS14000000,1984,May,7.4,1984-05-01
LNS14000000,1984,Jun,7.2,1984-06-01
LNS14000000,1984,Jul,7.5,1984-07-01
LNS14000000,1984,Aug,7.5,1984-08-01
LNS14000000,1984,Sep,7.3,1984-09-01
LNS14000000,1984,Oct,7.4,1984-10-01
LNS14000000,1984,Nov,7.2,1984-11-01
LNS14000000,1984,Dec,7.3,1984-12-01
LNS14000000,1985,Jan,7.3,1985-01-01
LNS14000000,1985,Feb,7.2,1985-02-01
LNS14000000,1985,Mar,7.2,1985-03-01
LNS14000000,1985,Apr,7.3,1985-04-01
LNS14000000,1985,May,7.2,1985-05-01
LNS14000000,1985,Jun,7.4,1985-06-01
LNS14000000,1985,Jul,7.4,1985-07-01
LNS14000000,1985,Aug,7.1,1985-08-01
LNS14000000,1985,Sep,7.1,1985-09-01
LNS14000000,1985,Oct,7.1,1985-10-01
LNS14000000,1985,Nov,7.0,1985-11-01
LNS14000000,1985,Dec,7.0,1985-12-01
LNS14000000,1986,Jan,6.7,1986-01-01
LNS14000000,1986,Feb,7.2,1986-02-01
LNS14000000,1986,Mar,7.2,1986-03-01
LNS14000000,1986,Apr,7.1,1986-04-01
LNS14000000,1986,May,7.2,1986-05-01
LNS14000000,1986,Jun,7.2,1986-06-01
LNS14000000,1986,Jul,7.0,1986-07-01
LNS14000000,1986,Aug,6.9,1986-08-01
LNS14000000,1986,Sep,7.0,1986-09-01
LNS14000000,1986,Oct,7.0,1986-10-01
LNS14000000,1986,Nov,6.9,1986-11-01
LNS14000000,1986,Dec,6.6,1986-12-01
LNS14000000,1987,Jan,6.6,1987-01-01
LNS14000000,1987,Feb,6.6,1987-02-01
LNS14000000,1987,Mar,6.6,1987-03-01
LNS14000000,1987,Apr,6.3,1987-04-01
LNS14000000,1987,May,6.3,1987-05-01
LNS14000000,1987,Jun,6.2,1987-06-01
LNS14000000,1987,Jul,6.1,1987-07-01
LNS14000000,1987,Aug,6.0,1987-08-01
LNS14000000,1987,Sep,5.9,1987-09-01
LNS14000000,1987,Oct,6.0,1987-10-01
LNS14000000,1987,Nov,5.8,1987-11-01
LNS14000000,1987,Dec,5.7,1987-12-01
LNS14000000,1988,Jan,5.7,1988-01-01
LNS14000000,1988,Feb,5.7,1988-02-01
LNS14000000,1988,Mar,5.7,1988-03-01
LNS14000000,1988,Apr,5.4,1988-04-01
LNS14000000,1988,May,5.6,1988-05-01
LNS14000000,1988,Jun,5.4,1988-06-01
LNS14000000,1988,Jul,5.4,1988-07-01
LNS14000000,1988,Aug,5.6,1988-08-01
LNS14000000,1988,Sep,5.4,1988-09-01
LNS14000000,1988,Oct,5.4,1988-10-01
LNS14000000,1988,Nov,5.3,1988-11-01
LNS14000000,1988,Dec,5.3,1988-12-01
LNS14000000,1989,Jan,5.4,1989-01-01
LNS14000000,1989,Feb,5.2,1989-02-01
LNS14000000,1989,Mar,5.0,1989-03-01
LNS14000000,1989,Apr,5.2,1989-04-01
LNS14000000,1989,May,5.2,1989-05-01
LNS14000000,1989,Jun,5.3,1989-06-01
LNS14000000,1989,Jul,5.2,1989-07-01
LNS14000000,1989,Aug,5.2,1989-08-01
LNS14000000,1989,Sep,5.3,1989-09-01
LNS14000000,1989,Oct,5.3,1989-10-01
LNS14000000,1989,Nov,5.4,1989-11-01
LNS14000000,1989,Dec,5.4,1989-12-01
LNS14000000,1990,Jan,5.4,1990-01-01
LNS14000000,1990,Feb,5.3,1990-02-01
LNS14000000,1990,Mar,5.2,1990-03-01
LNS14000000,1990,Apr,5.4,1990-04-01
LNS14000000,1990,May,5.4,1990-05-01
LNS14000000,1990,Jun,5.2,1990-06-01
LNS14000000,1990,Jul,5.5,1990-07-01
LNS14000000,1990,Aug,5.7,1990-08-01
LNS14000000,1990,Sep,5.9,1990-09-01
LNS14000000,1990,Oct,5.9,1990-10-01
LNS14000000,1990,Nov,6.2,1990-11-01
LNS14000000,1990,Dec,6.3,1990-12-01
LNS14000000,1991,Jan,6.4,1991-01-01
LNS14000000,1991,Feb,6.6,1991-02-01
LNS14000000,1991,Mar,6.8,1991-03-01
LNS14000000,1991,Apr,6.7,1991-04-01
LNS14000000,1991,May,6.9,1991-05-01
LNS14000000,1991,Jun,6.9,1991-06-01
LNS14000000,1991,Jul,6.8,1991-07-01
LNS14000000,1991,Aug,6.9,1991-08-01
